Millis,Load_Cell,Linear_Pot (scaled),Velocity,Thermocouple
4001,-6.95,4.815,-4.622,
4012,-6.94,4.735,-7.263,
4023,-7.17,4.663,-6.603,
4034,-7.33,4.568,-8.583,
4044,-7.17,4.489,-7.989,
4056,-7.17,4.445,-3.631,
4066,-7.19,4.343,-10.168,
4077,-7.34,4.263,-7.263,
4087,-7.34,4.176,-8.716,
4099,-7.22,4.096,-6.658,
4109,-7.3,4.002,-9.442,
4120,-7.26,3.929,-6.603,
4131,-7.22,3.842,-7.923,
4142,-7.35,3.762,-7.263,
4153,-7.19,3.675,-7.923,
4163,-7.09,3.61,-6.537,
4174,-7.06,3.675,5.942,
4185,-7.08,3.435,-21.789,
4196,-7.03,3.37,-5.942,
4206,-7.03,3.297,-7.263,
4217,-7.01,3.254,-3.962,
4228,-6.85,3.196,-5.282,
4239,-6.6,3.755,50.841,
4250,-6.49,3.007,-68.008,
4260,-6.53,2.956,-5.084,
4272,-6.72,2.898,-4.842,
4282,-6.3,2.833,-6.537,
4293,-6.14,2.745,-7.923,
4303,-6.19,2.68,-6.537,
4315,-6.2,2.644,-3.026,
4325,-6.19,2.571,-7.263,
4336,-5.95,2.469,-9.244,
4347,-5.76,2.44,-2.641,
4358,-5.71,2.375,-5.942,
4369,-5.46,2.331,-3.962,
4379,-5.46,2.273,-5.81,
4390,-5.88,2.215,-5.282,
4401,-5.54,2.186,-2.641,
4412,-5.22,2.121,-5.942,
4422,-5.13,2.077,-4.358,
4433,-5.01,2.077,0,
4444,-4.79,1.997,-7.263,
4455,-4.44,1.954,-3.962,
4466,-4.47,1.917,-3.301,
4476,-4.5,1.874,-4.358,
4488,-4.25,1.852,-1.816,
4498,-4.07,1.823,-2.905,
4509,-3.85,1.787,-3.301,
4519,-3.75,1.758,-2.905,
4531,-3.67,1.743,-1.21,
4541,-3.43,1.714,-2.905,
4552,-3.25,1.656,-5.282,
4563,-3.04,1.67,1.321,
4574,-2.82,1.634,-3.301,
4585,-2.64,1.62,-1.321,
4595,-2.49,1.62,0,
4606,-2.41,1.605,-1.321,
4617,-2.15,1.598,-0.66,
4628,-1.79,1.576,-1.981,
4638,-1.53,1.583,0.726,
4649,-1.23,1.576,-0.66,
4661,-0.83,1.576,0,
4671,-0.12,1.714,13.8,
4682,0.57,1.569,-13.205,
4692,0.83,1.576,0.726,
4704,0.89,1.591,1.21,
4714,1.7,1.591,0,
4725,2.63,1.612,1.981,
4736,2.61,1.612,0,
4747,2.61,1.634,1.981,
4757,2.68,1.627,-0.726,
4768,2.56,1.641,1.321,
4780,2.52,1.692,4.237,
4790,2.73,1.721,2.905,
4801,2.88,1.743,1.981,
4811,2.93,1.75,0.726,
4823,3.03,1.794,3.631,
4833,3.03,1.838,4.358,
4844,3.11,1.874,3.301,
4854,3.23,1.903,2.905,
4866,3.45,1.954,4.237,
4877,3.66,1.997,3.962,
4887,3.86,2.041,4.358,
4898,4.23,2.092,4.622,
4909,4.47,2.121,2.641,
4920,4.62,2.172,4.622,
4930,4.81,2.237,6.537,
4941,5.02,2.259,1.981,
4952,5.3,2.324,5.942,
4963,5.46,2.382,5.282,
4974,5.94,2.433,4.622,
4984,6.67,2.469,3.631,
4996,7.29,2.535,5.447,
5006,8.12,2.666,13.073,
5017,11.29,2.666,0,
5027,14.97,2.745,7.989,
5039,15.77,2.796,4.237,
5049,15.98,2.854,5.81,
5060,16.24,2.992,12.545,
5071,16.57,3,0.66,
5082,16.65,3.072,6.603,
5093,16.68,3.145,6.603,
5103,16.97,3.145,0,
5114,17.21,3.297,13.866,
