Millis,Load_Cell,Linear_Pot (scaled),Smoothed_Velocity,Velocity,Highpass_Velocity,Thermocouple
2605,51.28,5.2,18.505,18.488,18.488,
2616,50.3,5.382,17.629,16.507,16.507,
2626,48.66,5.571,18.144,18.884,18.884,
2637,46.46,5.752,17.316,16.507,16.507,
2649,44.33,5.941,16.558,15.736,15.736,
2659,41.86,6.101,16.258,15.978,15.978,
2670,39.12,6.261,15.421,14.526,14.526,
2680,36.11,6.399,14.621,13.8,13.8,
2692,32.91,6.551,13.655,12.71,12.71,
2702,29.85,6.675,13.003,12.347,12.347,
2713,26.61,6.784,11.488,9.904,9.904,
2723,23.51,6.885,10.815,10.168,10.168,
2735,20.78,6.972,9.02,7.263,7.263,
2746,18.69,7.045,7.807,6.603,6.603,
2756,16.74,7.103,6.801,5.81,5.81,
2767,14.56,7.139,5.077,3.301,3.301,
2778,12.26,7.154,3.229,1.321,1.321,
2789,10.01,7.169,2.225,1.321,1.321,
2799,7.75,7.169,1.09,0,0,
2810,4.76,7.139,-0.761,-2.641,-2.641,
2822,1.06,7.11,-1.645,-2.421,-2.421,
2832,-2.4,7.052,-3.576,-5.81,-5.81,
2843,-3.91,6.994,-4.481,-5.282,-5.282,
2853,-4.72,6.922,-5.844,-7.263,-7.263,
2865,-5.96,6.827,-6.91,-7.868,-7.868,
2875,-7.67,6.711,-9.104,-11.621,-11.621,
2886,-9.58,6.58,-10.472,-11.885,-11.885,
2896,-11.11,6.45,-11.793,-13.073,-13.073,
2908,-12.49,6.297,-12.363,-12.71,-12.71,
2919,-14.11,6.137,-13.47,-14.526,-14.526,
2929,-15.53,5.963,-15.259,-17.431,-17.431,
2940,-16.67,5.789,-15.603,-15.846,-15.846,
2951,-17.8,5.6,-16.427,-17.167,-17.167,
2962,-18.92,5.404,-17.175,-17.827,-17.827,
2972,-19.82,5.2,-18.631,-20.336,-20.336,
2983,-20.58,4.997,-18.599,-18.488,-18.488,
2995,-21.27,4.786,-18.194,-17.552,-17.552,
3005,-21.92,4.576,-19.472,-21.063,-21.063,
3016,-22.28,4.365,-19.314,-19.148,-19.148,
3026,-22.4,4.154,-20.093,-21.063,-21.063,
3038,-22.32,3.951,-18.626,-16.947,-16.947,
3048,-22.2,3.733,-20.029,-21.789,-21.789,
3059,-21.58,3.53,-19.253,-18.488,-18.488,
3069,-20.94,3.334,-19.418,-19.61,-19.61,
3081,-20.29,3.138,-17.924,-16.342,-16.342,
3092,-19.46,2.956,-17.281,-16.507,-16.507,
3102,-18.41,2.774,-17.543,-18.157,-18.157,
3113,-17.36,2.607,-16.389,-15.186,-15.186,
3124,-16.18,2.448,-15.485,-14.526,-14.526,
3135,-14.93,2.302,-14.409,-13.205,-13.205,
3145,-13.55,2.172,-13.731,-13.073,-13.073,
3156,-12.26,2.041,-12.761,-11.885,-11.885,
3168,-10.91,1.932,-10.945,-9.079,-9.079,
3178,-9.53,1.838,-10.184,-9.442,-9.442,
3189,-8.14,1.75,-9.034,-7.923,-7.923,
3200,-7.03,1.685,-7.506,-5.942,-5.942,
3211,-5.98,1.634,-6.077,-4.622,-4.622,
3221,-4.88,1.598,-4.885,-3.631,-3.631,
3232,-3.75,1.576,-3.41,-1.981,-1.981,
3243,-2.33,1.569,-2.018,-0.66,-0.66,
3254,-0.45,1.576,-0.674,0.66,0.66,
3265,1.13,1.598,0.658,1.981,1.981,
3275,2.24,1.641,2.413,4.358,4.358,
3287,2.68,1.7,3.684,4.842,4.842,
3297,2.92,1.765,5.078,6.537,6.537,
3308,3.17,1.852,6.518,7.923,7.923,
3318,3.55,1.954,8.268,10.168,10.168,
3330,4.21,2.07,9.047,9.684,9.684,
3340,5.25,2.201,10.956,13.073,13.073,
3351,7.25,2.339,11.79,12.545,12.545,
3362,11.33,2.484,12.554,13.205,13.205,
3373,18.08,2.636,13.239,13.866,13.866,
3384,24.89,2.811,14.519,15.846,15.846,
3394,32.27,2.978,15.53,16.705,16.705,
3405,40.85,3.159,16.071,16.507,16.507,
3416,45.37,3.348,16.672,17.167,17.167,
3427,47.71,3.537,16.97,17.167,17.167,
3438,49.17,3.733,17.392,17.827,17.827,
3448,50.57,3.929,18.393,19.61,19.61,
3460,51.77,4.133,17.735,16.947,16.947,
3470,52.37,4.336,18.907,20.336,20.336,
3481,52.53,4.532,18.425,17.827,17.827,
3491,52.55,4.735,19.293,20.336,20.336,
3503,52.32,4.939,18.161,16.947,16.947,
3513,51.5,5.135,18.819,19.61,19.61,
3524,50.4,5.324,18.005,17.167,17.167,
3535,48.88,5.52,17.92,17.827,17.827,
3546,46.97,5.694,16.925,15.846,15.846,
3557,44.89,5.883,17.021,17.167,17.167,
3567,42.61,6.043,16.491,15.978,15.978,
3578,40.04,6.203,15.557,14.526,14.526,
3589,37.01,6.362,15.035,14.526,14.526,
3600,34.05,6.493,13.544,11.885,11.885,
3611,31.13,6.631,12.994,12.545,12.545,
3621,28,6.74,11.973,10.894,10.894,
3633,24.9,6.849,10.516,9.079,9.079,
3643,21.93,6.943,9.935,9.442,9.442,
3654,19.59,7.023,8.617,7.263,7.263,
3664,17.6,7.081,7.263,5.81,5.81,
3676,15.6,7.125,5.435,3.631,3.631,
3686,13.62,7.154,4.189,2.905,2.905,
3697,11.79,7.169,2.717,1.321,1.321,
3708,9.66,7.169,1.339,0,0,
3719,7.22,7.161,0.305,-0.66,-0.66,
3730,4.28,7.118,-1.755,-3.962,-3.962,
3740,0.08,7.067,-3.347,-5.084,-5.084,
3751,-3.17,7.016,-4.075,-4.622,-4.622,
3762,-4.33,6.943,-5.38,-6.603,-6.603,
3773,-5.31,6.863,-6.357,-7.263,-7.263,
3783,-6.82,6.755,-8.434,-10.894,-10.894,
3794,-8.79,6.631,-9.815,-11.225,-11.225,
3806,-10.63,6.5,-10.479,-10.894,-10.894,
3816,-11.94,6.355,-12.379,-14.526,-14.526,
3827,-13.39,6.195,-13.468,-14.526,-14.526,
3837,-14.94,6.028,-14.993,-16.705,-16.705,
3849,-16.17,5.854,-14.878,-14.526,-14.526,
3859,-17.22,5.665,-16.753,-18.884,-18.884,
3870,-18.3,5.476,-16.975,-17.167,-17.167,
3881,-19.32,5.28,-17.441,-17.827,-17.827,
3892,-20.15,5.077,-17.969,-18.488,-18.488,
3903,-20.85,4.866,-18.58,-19.148,-19.148,
3913,-21.56,4.663,-19.364,-20.336,-20.336,
3924,-22.03,4.43,-20.242,-21.129,-21.129,
3935,-22.29,4.242,-18.898,-17.167,-17.167,
3946,-22.39,4.031,-19.049,-19.148,-19.148,
3957,-22.33,3.813,-19.362,-19.808,-19.808,
3968,-21.91,3.617,-18.615,-17.827,-17.827,
3979,-21.29,3.414,-18.532,-18.488,-18.488,
3989,-20.72,3.21,-19.346,-20.336,-20.336,
4000,-19.91,3.021,-18.312,-17.167,-17.167,
4011,-18.88,2.84,-17.474,-16.507,-16.507,
4022,-17.82,2.673,-16.407,-15.186,-15.186,
4032,-16.69,2.506,-16.448,-16.705,-16.705,
4043,-15.45,2.353,-15.14,-13.866,-13.866,
4055,-14.11,2.215,-13.37,-11.5,-11.5,
4065,-12.77,2.084,-13.145,-13.073,-13.073,
4076,-11.41,1.968,-11.85,-10.564,-10.564,
4086,-10.04,1.874,-10.666,-9.442,-9.442,
4098,-8.64,1.779,-9.252,-7.868,-7.868,
4108,-7.41,1.707,-8.281,-7.263,-7.263,
4119,-6.36,1.649,-6.766,-5.282,-5.282,
4129,-5.28,1.605,-5.585,-4.358,-4.358,
4141,-4.16,1.576,-3.966,-2.421,-2.421,
4152,-2.87,1.569,-2.339,-0.66,-0.66,
4162,-1.14,1.569,-1.172,0,0,
4173,0.7,1.583,0.107,1.321,1.321,
4184,1.88,1.62,1.696,3.301,3.301,
4195,2.48,1.685,3.761,5.942,5.942,
4205,2.68,1.743,4.805,5.81,5.81,
4216,2.9,1.83,6.401,7.923,7.923,
4228,3.25,1.932,7.521,8.473,8.473,
4238,3.74,2.034,8.798,10.168,10.168,
4249,4.52,2.157,10,11.225,11.225,
4259,5.97,2.295,11.799,13.8,13.8,
4271,9.09,2.44,12.044,12.105,12.105,
4281,15.47,2.593,13.576,15.252,15.252,
4292,23.21,2.76,14.392,15.186,15.186,
4303,30.98,2.941,15.446,16.507,16.507,
4314,39.64,3.116,15.7,15.846,15.846,
4325,43.99,3.29,15.868,15.846,15.846,
4335,46.15,3.493,17.862,20.336,20.336,
4346,48.42,3.682,17.571,17.167,17.167,
4357,50.35,3.878,17.759,17.827,17.827,
4368,51.75,4.082,18.154,18.488,18.488,
4378,52.69,4.278,18.824,19.61,19.61,
4389,52.88,4.489,18.951,19.148,19.148,
4401,52.82,4.677,17.48,15.736,15.736,
4411,52.44,4.888,19.03,21.063,21.063,
4422,51.72,5.077,18.12,17.167,17.167,
4432,50.74,5.266,18.442,18.884,18.884,
4444,49.32,5.469,17.724,16.947,16.947,
4454,47.65,5.643,17.619,17.431,17.431,
4465,45.53,5.832,17.336,17.167,17.167,
4476,43.35,5.999,16.337,15.186,15.186,
4487,40.78,6.159,15.459,14.526,14.526,
4498,37.88,6.319,14.977,14.526,14.526,
4508,34.98,6.464,14.694,14.526,14.526,
4519,31.95,6.595,13.324,11.885,11.885,
4530,29,6.718,12.317,11.225,11.225,
4541,25.89,6.827,11.134,9.904,9.904,
4551,22.84,6.922,10.271,9.442,9.442,
4562,20.23,7.001,8.765,7.263,7.263,
4574,18.21,7.074,7.394,6.052,6.052,
4584,16.22,7.118,5.947,4.358,4.358,
4595,14.13,7.147,4.307,2.641,2.641,
4605,12.18,7.161,2.899,1.453,1.453,
4617,10.24,7.169,1.674,0.605,0.605,
4627,7.61,7.161,0.477,-0.726,-0.726,
4638,4.71,7.125,-1.37,-3.301,-3.301,
4648,1.25,7.081,-2.813,-4.358,-4.358,
4660,-2.24,7.031,-3.615,-4.237,-4.237,
4671,-4.16,6.965,-4.812,-5.942,-5.942,
4681,-5.05,6.885,-6.307,-7.989,-7.989,
4692,-6.31,6.784,-7.739,-9.244,-9.244,
4703,-8.18,6.66,-9.453,-11.225,-11.225,
4714,-10.2,6.537,-10.425,-11.225,-11.225,
4724,-11.59,6.399,-12.057,-13.8,-13.8,
4736,-12.94,6.239,-12.75,-13.315,-13.315,
4747,-14.54,6.079,-13.66,-14.526,-14.526,
4757,-15.92,5.898,-15.717,-18.157,-18.157,
4768,-17.04,5.723,-15.865,-15.846,-15.846,
4779,-18.09,5.527,-16.863,-17.827,-17.827,
4790,-19.16,5.331,-17.406,-17.827,-17.827,
4800,-19.98,5.135,-18.444,-19.61,-19.61,
4811,-20.69,4.932,-18.484,-18.488,-18.488,
4823,-21.47,4.721,-18.117,-17.552,-17.552,
