Millis,Load_Cell,Linear_Pot (scaled),Thermocouple
5981,0.02,6.769,
5992,0.02,6.769,
6003,0.01,6.769,
6013,0.01,6.769,
6025,0.01,6.769,
6035,0,6.776,
6046,0.01,6.769,
6056,0,6.762,
6068,0.02,6.769,
6078,0,6.762,
6089,-0.02,6.769,
6100,0,6.769,
6111,0.01,6.769,
6122,0.02,6.769,
6132,0.01,6.769,
6144,0,6.769,
6154,0.02,6.769,
6165,0.03,6.776,
6175,0.01,6.769,
6187,0.01,6.769,
6198,-0.01,6.776,
6208,0.01,6.769,
6219,0.01,6.776,
6230,0,6.769,
6241,0.02,6.769,
6251,0.01,6.776,
6262,0.01,6.769,
6273,0.03,6.762,
6284,0.02,6.769,
6295,0.02,6.776,
6305,0.02,6.776,
6317,0.02,6.769,
6327,0.01,6.776,
6338,0,6.769,
6348,0,6.776,
6360,0.03,6.776,
6370,0.01,6.776,
6381,-0.01,6.776,
6392,-0.01,6.769,
6403,0,6.769,
6414,0.01,6.776,
6424,0.01,6.769,
6435,0,6.776,
6446,0,6.769,
6457,0.01,6.769,
6467,-0.01,6.769,
6478,0,6.776,
6489,0.02,6.769,
6500,0,6.769,
6511,0.02,6.769,
6521,0.02,6.769,
6533,0.02,6.769,
6543,0,6.776,
6554,0.01,6.769,
6564,0.03,6.776,
6576,0.04,6.769,
6586,0.01,6.776,
6597,0,6.776,
6608,0.02,6.769,
6619,0.01,6.769,
6630,0.02,6.776,
6640,0.02,6.769,
6651,0.01,6.769,
6662,-0.03,6.769,
6673,-0.02,6.769,
6683,0.01,6.769,
6694,0.01,6.776,
6706,0.01,6.776,
6716,0.01,6.769,
6727,0.01,6.769,
6737,0.01,6.769,
6749,0.04,6.769,
6759,0.02,6.776,
6770,0.02,6.769,
6780,0.02,6.769,
6792,0.02,6.776,
6803,0.02,6.769,
6813,0,6.769,
6824,0.01,6.776,
6835,0.01,6.769,
6846,0.02,6.769,
6856,0.01,6.769,
6867,0.02,6.776,
6878,0.02,6.769,
6889,0.02,6.769,
6900,0.01,6.776,
6910,-0.01,6.769,
6922,-0.01,6.762,
6932,0,6.769,
6943,0.01,6.769,
6953,0.02,6.769,
6965,0.02,6.762,
6975,0.02,6.769,
6986,0.02,6.776,
6998,0.01,6.769,
7008,0,6.769,
7019,-0.02,6.769,
7029,-0.01,6.769,
7041,0.01,6.769,
7051,0.01,6.776,
7062,0.03,6.769,
7072,0.02,6.769,
7084,0,6.784,
7094,0.01,6.769,
7105,-0.01,6.769,
7116,-0.01,6.776,
7127,0,6.776,
7138,0.02,6.769,
7148,0.02,6.769,
7159,0,6.776,
7170,0,6.776,
7181,0.01,6.769,
7191,0.01,6.776,
7202,0,6.769,
7214,0,6.776,
7224,0.01,6.769,
7235,0,6.769,
7245,0,6.776,
7257,0.01,6.769,
7267,0,6.769,
7278,0.01,6.776,
7288,0.02,6.769,
7300,0,6.769,
7311,0,6.769,
7321,0,6.769,
7332,0.01,6.769,
7343,0.02,6.769,
7354,0.01,6.769,
7364,0.01,6.776,
7375,0.03,6.769,
7386,0.02,6.769,
7397,0.04,6.776,
7408,0.03,6.776,
7418,-0.01,6.769,
7430,-0.01,6.769,
7440,0,6.776,
7451,0.01,6.769,
7461,0.04,6.776,
7473,0.03,6.769,
7483,0.01,6.769,
7494,0,6.776,
7505,-0.02,6.776,
7516,0,6.776,
7527,0.01,6.769,
7537,-0.01,6.769,
7548,-0.01,6.769,
7559,0.02,6.776,
7570,0.01,6.769,
7580,0.02,6.776,
7591,0.03,6.769,
7603,0.01,6.769,
7613,0,6.769,
7624,0,6.769,
7634,0.01,6.769,
7646,0.01,6.769,
7656,0,6.776,
7667,0,6.769,
7677,-0.02,6.776,
7689,-0.02,6.769,
7699,0,6.769,
7710,0.01,6.776,
7721,-0.01,6.769,
7732,-0.02,6.776,
7743,-0.01,6.769,
7753,0,6.776,
7764,-0.01,6.776,
7775,0,6.776,
7786,0.01,6.769,
7796,0,6.769,
7808,-0.02,6.769,
7819,-0.01,6.776,
7829,-0.01,6.776,
7840,0.01,6.762,
7851,0.01,6.769,
7862,0.02,6.776,
7872,0.03,6.769,
7883,0.03,6.769,
7894,0.02,6.776,
7905,0.01,6.769,
7916,0.01,6.769,
7926,0.01,6.769,
7938,-0.01,6.776,
7948,-0.01,6.776,
7959,0,6.776,
7969,0.01,6.769,
7981,0.02,6.769,
7991,0.03,6.769,
8002,0.02,6.769,
8013,0.02,6.776,
